input context,canonical term,output context,responses,next actions,hints

any,lisa,any,5,10,0
any,hello,any,"25,26",1,56
any,thanks,any,"1,2,3,4",0,0

any,book,when1,51,1,52
when1,today,time1,53,"1,51",54
when1,tomorrow,time1,53,"1,52",54
when1,any,when2,52,1,52
when2,today,time1,53,"1,51",54
when2,tomorrow,time1,53,"1,52",54
when2,any,any,"59,60,61",0,56

time1,one,size1,55,"1,53",53
time1,two,size1,55,"1,54",53
time1,three,size1,55,"1,55",53
time1,four,size1,55,"1,56",53
time1,five,size1,55,"1,57",53
time1,six ,size1,55,"1,58",53
time1,seven,size1,55,"1,59",53
time1,eight,size1,55,"1,60",53
time1,nine,size1,55,"1,61",53
time1,ten,size1,55,"1,62",53
time1,eleven,size1,55,"1,63",53
time1,twelve,size1,55,"1,64",53
time1,any,time2,54,1,54
time2,one,size1,55,"1,53",53
time2,two,size1,55,"1,54",53
time2,three,size1,55,"1,55",53
time2,four,size1,55,"1,56",53
time2,five,size1,55,"1,57",53
time2,six ,size1,55,"1,58",53
time2,seven,size1,55,"1,59",53
time2,eight,size1,55,"1,60",53
time2,nine,size1,55,"1,61",53
time2,ten,size1,55,"1,62",53
time2,eleven,size1,55,"1,63",53
time2,twelve,size1,55,"1,64",53
time2,any,any,"59,60,61",0,56

size1,large,building1,57,"1,65",55
size1,medium,building1,57,"1,66",55
size1,small,building1,57,"1,67",55
size1,any,size2,56,1,53
size2,large,building1,57,"1,65",55
size2,medium,building1,57,"1,66",55
size2,small,building1,57,"1,67",55
size2,any,any,"59,60,61",0,56

building1,RMZ,any,"62,63,64,65,66","68,50",56
building1,Olympia,any,"62,63,64,65,66","69,50",56
building1,any,building2,58,1,55
building2,RMZ,any,"62,63,64,65,66","68,50",56
building2,Olympia,any,"62,63,64,65,66","69,50",56
building2,any,any,"59,60,61",0,56
